两心一般心，有钱堪买金。|两人一般心，有钱堪买金。一人一般心，有钱难买针。
一人一般心，有钱难买针。|
一年之计在于春，一日之计在于晨。|一年之计在于春，一日之计在于寅。一家之计在于和，一生之计在于勤。
一家之计在于和，一生之计在于勤。|
宁可人负我，切莫我负人。|宁可负我，切莫负人。
再三须慎意，第一莫欺心。|再三须重事，第一莫欺心。
平生莫做皱眉事，世上应无切齿人。|平生莫作皱眉事，世上应无切齿人。
积金千两，不如多买经书。|积金千两，不如明解经书。
茫茫四海人无数，哪个男儿是丈夫。|茫茫四海人无数，那个男儿是丈夫？
美酒酿成缘好客，黄金散尽为收书。|白酒酿成缘好客，黄金散尽为收书。
人心似铁，官法如炉。|人心如铁，官法如炉。
水至清则无鱼，人至察则无徒。|水太清则无鱼，人太紧则无智。
竹篱茅舍风光好，道院僧房总不如。|竹篱茅舍风光好，僧院道房终不如。
会说说都市，不会说说屋里。|会说说都市，不会说屋里。
求财恨不多，财多害人子。|求财恨不多，财多害人己。
知足常足，终身不辱；|知足常足，终身不辱；知止常止，终身不耻。
知止常止，终身不耻。|
使口不如亲为，求人不如求己。|使口不如自走，求人不如求己。
妒财莫妒食，怨生莫怨死。|妒财莫妒利，怨生莫怨死。
人见白头嗔，我见白头喜。|人见白头嗔，我见白头喜；多少少年亡，不到白头死。
多少少年亡，不到白头死。|
人生一世，草生一秋。|人生一世，草生一春。
黑发不知勤学早，转眼便是白头翁。|白发不随老人去，看来又是白头翁。
路逢险处须回避，事到头来不自由。|路逢险处难回避，事到头来不自由。
莫待是非来入耳，从前恩爱反成仇。|莫待是非来入耳，从前恩爱便为仇。
休别有鱼处，莫恋浅滩头。|休别有鱼处，莫恋浅滩头；去时终须去，再三留不住。
去时终须去，再三留不住。|
黄河尚有澄清日，岂可人无得运时。|黄河尚有澄清日，岂可人无得运时？
念念有如临敌日，心心常似过桥时。|念念有如临渊日，心心常似过桥时。
人情莫道春光好，只怕秋来有冷时。|人情莫道春光好，只恐秋来有冷时。
但将冷眼观螃蟹，看你横行到几时。|但将冷眼观螃蟹，看你横行有几时。
龙生龙子，虎生虎儿。|龙生龙子，虎生豹儿。
入门休问荣枯事，且看容颜便得知。|入门休问荣枯事，观看容颜便得知。
好言难得，恶语易施。|好言难得，恶语易施。一言既出，驷马难追。
一言既出，驷马难追。|
路逢险处须当避，不是才人莫献诗。|路逢侠客须呈忍，不是才人莫献诗。
三人行，必有我师焉。|三人同行，必有我师焉。择其善者而从之，其不善者而改之。
择其善者而从之，其不善者而改之。|
天网恢恢，疏而不漏。|天眼恢恢，疏而不漏。
螳螂捕蝉，黄雀在后。|螳螂捕蝉，岂知黄雀在后。
一日夫妻，百世姻缘。|一日夫妻，百世姻缘。百世修来同船渡，千世修来共枕眠。
百世修来同船渡，千世修来共枕眠。|
将相顶头堪走马，公侯肚里好撑船。|将相额头堪走马，公侯肚里好撑船。
击石原有火，不击乃无烟。|击石原有火，不击乃无烟。人学始知道，不学亦徒然。
人学始知道，不学亦枉然。|
莫笑他人老，终须还到老。|莫笑他人老，终须还到我。
一人道虚，千人传实。|一人道好，千人传实。
好学者如禾如稻，不好学者如蒿如草。|好学者如禾如稻，不学者如蒿如草。
无求到处人情好，不饮随他酒价高。|无求到处人情好，不饮任他酒价高。
强中更有强中手，恶人终受恶人磨。|强中更有强中手，恶人须用恶人磨。
万般皆下品，唯有读书高。|世上万般皆下品，思量惟有读书高。
既坠釜甑，反顾何益？|既坠釜甑，反顾何益？已覆之水，收之实难。
已覆之水，收之实难。|
由俭入奢易，由奢入俭难。|从俭入奢易，从奢入俭难。
知音说与知音听，不是知音莫与弹。|知音说与知音听，不是知音莫与谈。
点石化为金，人心犹未足。|点石化为金，人心犹不足。
但行好事，莫问前程。|但有好事，莫问前程。
河狭水紧，人急智生。|河狭水急，人急智生。
路不铲不平，事不为不成；|路不行不到，事不为不成；人不劝不善，钟不打不鸣。
人不劝不善，钟不敲不鸣。|
牡丹花好空入目，枣花虽小结实成。|牡丹花大空入目，枣花虽微结实成。
得忍且忍，得耐且耐；|得忍且忍，得耐且耐；不忍不耐，小事成大。
不忍不耐，小事成大。|
