逢人且说三分话，未可全抛一片心。|Trust not all to whom you speak, hold back a portion of your heart.
马行无力皆因瘦，人不风流只为贫。|A weak horse is due to its thinness, a person's lack of charm is due to poverty.
当时若不登高望，谁信东流海样深。|If you didn't climb the heights back then, who would believe the depth of the flowing river?
为人莫做亏心事，半夜敲门心不惊。|Don't engage in deceitful acts, then you won't be startled by midnight knocks on the door.
莺花犹怕春光老，岂可教人枉度春。|Even the flowers fear the passing of spring, so how can one waste their time?
红粉佳人休使老，风流浪子莫教贫。|Don't let a beauty grow old, don't let a libertine become poor.
贫居闹市无人问，富在深山有远亲。|No one cares about a poor person in the bustling city, but in the deep mountains, there are distant relatives for the rich.
谁人背后无人说，哪个人前不说人。|There is always someone who talks behind someone's back, and there is always someone who talks about others in front of them.
有钱道真语，无钱语不真。|Money speaks true words, while poverty's words are not true.
不信但看筵中酒，杯杯先敬有钱人。|If you don't believe it, just look at the wine on the banquet table. Every cup is first dedicated to the wealthy.
先到为君，后到为臣。|The early arrival is the host, the late arrival is the servant.
山中有直树，世上无直人。|There are upright trees in the mountains, but there are no upright people in the world.
大家都是命，半点不由人。|Everyone has their fate, not a single bit is controlled by oneself.
虎生犹可近，人毒不堪亲。|One can approach a tiger, but can't trust a malicious person.
有酒有肉多兄弟，急难何曾见一人。|When there's food and wine, there are many friends, but in times of need, none can be seen.
人情似纸张张薄，世事如棋局局新。|Human relationships are as thin as paper, and worldly matters are like a chess game, always new moves.
力微休负重，言轻莫劝人。|If you're weak, don't carry too much burden; if your words are light, don't advise others.
无钱休入众，遭难莫寻亲。|If you're poor, don't join the crowd; if you're in trouble, don't seek your relatives.
久住令人贱，频来亲也疏。|Staying too long makes one despised, frequent visits from relatives make them distant.
仓廪虚兮岁月乏，子孙愚兮礼义疏。|When the granary is empty, the years are lacking; when descendants are foolish, proper customs and etiquette are disregarded.
知者减半，愚者全无。|Wise men are scarce, fools are abundant.
在家由父，出嫁从夫。|In one's own home, follow one's father; after marriage, follow one's husband.
痴人畏妇，贤女敬夫。|A foolish man fears his wife, a virtuous woman respects her husband.
命里有时终须有，命里无时莫强求。|If it is fated to happen, it will happen; if it is not, don't force it.
墙有缝，壁有耳。|Walls have cracks, and walls have ears.
贼是小人，智过君子。|Thieves are lowly people, but their cunning surpasses gentlemen.
贫穷自在，富贵多忧。|Poverty brings freedom, wealth brings numerous worries.
是非只为多开口，烦恼皆因强出头。|Controversy arises from speaking too much, troubles arise from being too outspoken.
忍得一时之气，免去百日之忧。|Endure the anger of a moment, avoid the grief of a hundred days.
近来学得乌龟法，得缩头时且缩头。|Recently, I have learned the turtle's technique – when it's time to withdraw, withdraw.
今朝有酒今朝醉，明日愁来明日忧。|Drink today when there is wine, worry tomorrow when the sorrow comes.
药能医假病，酒不解真愁。|Medicine can cure a feigned illness, but alcohol cannot alleviate genuine sorrow.
人贫不语，水平不流。|Poor people don't talk, stagnant water doesn't flow.
三杯通大道，一醉解千愁。|Three cups lead to enlightenment, one drunkenness dispels a thousand worries.
忍一句，息一怒；|Endure one remark, suppress one anger;
饶一着，退一步。|Allow one move, retreat one step.
三十不豪，四十不富，五十将近寻死路。|At thirty, one is not wealthy; at forty, one is not rich. Approaching fifty, one is seeking the path to death.
生不认魂，死不认尸。|In life, people may not recognize their own souls, and in death, they may not recognize their own bodies.
一寸光阴一寸金，寸金难买寸光阴。|An inch of time is worth an inch of gold, and inch of gold cannot buy an inch of time.
人生似鸟同林宿，大限来时各自飞。|In life, people are like birds roosting in the same forest, but when death comes, each flies away on their own.
人善被人欺，马善被人骑。|A kind person is often taken advantage of, just as a good horse is often ridden by others.
人无横财不富，马无夜草不肥。|Without windfall, a person won't be wealthy; without fresh grass at night, a horse won't be plump.
善恶到头终有报，只争来早与来迟。|Good and evil will be rewarded in the end, it's just a matter of arriving early or arriving late.
见事莫说，问事不知。|Don't speak when you see something, don't inquire when you don't know.
闲事休管，无事早归。|Don't meddle in idle matters, return early if there's nothing to do.
假缎染就真红色，也被旁人说是非。|If you pretend to dye fake silk red, it will still be criticized by others.
酒债寻常行处有，人生七十古来稀。|Debts related to wine can be found anywhere, but one's life span of seventy is rare.
养儿防老，积谷防饥。|Raise children to prepare for old age, store grain to prepare for hunger.
